0,10,0,-10
1,9,-1,-9
2,9,-2,-9
3,8,-3,-8
4,6,-4,-6
5,4,-5,-4
5,2,-5,-2
6,0,-6,0
7,-1,-7,1
8,-3,-8,3
8,-5,-8,5
9,-6,-9,6
9,-8,-9,8
9,-9,-9,9
9,-9,-9,9
9,-9,-9,9
9,-9,-9,9
9,-8,-9,8
9,-7,-9,7
8,-6,-8,6
8,-4,-8,4
7,-2,-7,2
7,0,-7,0
6,1,-6,-1
5,3,-5,-3
4,5,-4,-5
3,7,-3,-7
2,8,-2,-8
1,9,-1,-9
0,9,0,-9
0,9,0,-9
-1,9,1,-9
-2,8,2,-8
-3,7,3,-7
-4,5,4,-5
-5,3,5,-3
-6,1,6,-1
-7,0,7,0
-7,-2,7,2
-8,-4,8,4
-8,-6,8,6
-9,-7,9,7
-9,-8,9,8
-9,-9,9,9
-9,-9,9,9
-9,-9,9,9
-9,-9,9,9
-9,-8,9,8
-9,-6,9,6
-8,-5,8,5
-8,-3,8,3
-7,-1,7,1
-6,0,6,0
-5,2,5,-2
-5,4,5,-4
-4,6,4,-6
-3,8,3,-8
-2,9,2,-9
-1,9,1,-9
0,10,0,-10
