0,10,0
1,9,-1
2,9,-2
3,9,-3
4,9,-4
5,8,-5
5,8,-5
6,7,-6
7,6,-7
8,5,-8
8,4,-8
9,4,-9
9,3,-9
9,2,-9
9,0,-9
9,0,-9
9,-1,-9
9,-2,-9
9,-3,-9
9,-4,-9
8,-5,-8
8,-5,-8
7,-6,-7
6,-7,-6
5,-8,-5
4,-8,-4
3,-9,-3
2,-9,-2
1,-9,-1
0,-9,0
0,-9,0
-1,-9,1
-2,-9,2
-3,-9,3
-4,-9,4
-5,-8,5
-6,-7,6
-6,-7,6
-7,-6,7
-8,-5,8
-8,-4,8
-9,-3,9
-9,-2,9
-9,-1,9
-9,0,9
-9,0,9
-9,1,9
-9,2,9
-9,3,9
-9,4,9
-8,5,8
-7,6,7
-7,6,7
-6,7,6
-5,8,5
-4,8,4
-3,9,3
-2,9,2
-1,9,1
0,9,0
0,9,0
1,9,-1
2,9,-2
3,9,-3
4,8,-4
5,8,-5
6,7,-6
6,7,-6
7,6,-7
8,5,-8
8,4,-8
9,3,-9
9,2,-9
9,1,-9
9,0,-9
9,0,-9
9,-1,-9
9,-2,-9
9,-3,-9
8,-4,-8
8,-5,-8
7,-6,-7
7,-7,-7
6,-7,-6
5,-8,-5
4,-8,-4
3,-9,-3
2,-9,-2
1,-9,-1
0,-9,0
0,-9,0
-1,-9,1
-2,-9,2
-3,-9,3
-4,-8,4
-5,-8,5
-6,-7,6
-7,-7,7
-7,-6,7
-8,-5,8
-8,-4,8
-9,-3,9
-9,-2,9
-9,-1,9
-9,0,9
-9,0,9
-9,1,9
-9,2,9
-9,3,9
-8,4,8
-8,5,8
-7,6,7
-6,7,6
-6,7,6
-5,8,5
-4,8,4
-3,9,3
-2,9,2
-1,9,1
0,9,0
0,9,0
1,9,-1
2,9,-2
3,9,-3
4,8,-4
5,8,-5
6,7,-6
7,6,-7
7,6,-7
8,5,-8
9,4,-9
9,3,-9
9,2,-9
9,1,-9
9,0,-9
9,0,-9
9,-1,-9
9,-2,-9
9,-3,-9
8,-4,-8
8,-5,-8
7,-6,-7
6,-7,-6
6,-7,-6
5,-8,-5
4,-9,-4
3,-9,-3
2,-9,-2
1,-9,-1
0,-9,0
0,-9,0
-1,-9,1
-2,-9,2
-3,-9,3
-4,-8,4
-5,-8,5
-6,-7,6
-7,-6,7
-8,-5,8
-8,-5,8
-9,-4,9
-9,-3,9
-9,-2,9
-9,-1,9
-9,0,9
-9,0,9
-9,2,9
-9,3,9
-9,4,9
-8,4,8
-8,5,8
-7,6,7
-6,7,6
-5,8,5
-5,8,5
-4,9,4
-3,9,3
-2,9,2
-1,9,1
0,10,0
